Experiment name,Biological sample category,Biological sample name,MS/MS sample name,Cluster,Protein name,Protein accession numbers,Alternate IDs,Database sources,Protein molecular weight (Da),Protein identification probability,Exclusive unique peptide count,Exclusive unique spectrum count,Total spectrum count,Percentage of total spectra,Percentage sequence coverage,Length
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Polyubiquitin-B OS=Homo sapiens OX=9606 GN=UBB PE=1 SV=1 (P0CG47),Ubiquitin-60S ribosomal protein L40 OS=Homo sapiens OX=9606 GN=UBA52 PE=1 SV=2,P62987,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"14,728.90",47.60%,0,0,13,0.01%,29.70%,128
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4 (P55072),Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4,P55072,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"89,324.80",99.80%,1,1,1,0.00%,1.49%,806
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Phosphomannomutase 2 OS=Homo sapiens OX=9606 GN=PMM2 PE=1 SV=1 (O15305),Phosphomannomutase 2 OS=Homo sapiens OX=9606 GN=PMM2 PE=1 SV=1,O15305,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"28,083.40",100.00%,2,4,5,0.00%,8.54%,246
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Heat shock-related 70 kDa protein 2 OS=Homo sapiens OX=9606 GN=HSPA2 PE=1 SV=1 (P54652),Heat shock 70 kDa protein 1A OS=Homo sapiens OX=9606 GN=HSPA1A PE=1 SV=1,"P0DMV8,P0DMV9",,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"70,054.00",100.00%,1,1,41,0.04%,21.10%,641
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Histone H2B type 1-J OS=Homo sapiens OX=9606 GN=HIST1H2BJ PE=1 SV=3 (P06899),Histone H2B type 2-F OS=Homo sapiens OX=9606 GN=HIST2H2BF PE=1 SV=3,Q5QNW6,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"13,920.60",84.10%,0,0,5,0.00%,16.70%,126
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of 40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2 (P62277),40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2,P62277,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"17,223.30",100.00%,2,3,3,0.00%,8.61%,151
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Phosphomannomutase 1 OS=Homo sapiens OX=9606 GN=PMM1 PE=1 SV=2 (Q92871),Phosphomannomutase 1 OS=Homo sapiens OX=9606 GN=PMM1 PE=1 SV=2,Q92871,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"29,747.50",21.40%,0,0,0,0.00%,0.00%,262
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Histone H4 OS=Homo sapiens OX=9606 GN=HIST1H4A PE=1 SV=2 (P62805),Histone H4 OS=Homo sapiens OX=9606 GN=HIST1H4A PE=1 SV=2,P62805,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"11,367.70",100.00%,2,2,2,0.00%,19.40%,103
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Histone H2AX OS=Homo sapiens OX=9606 GN=H2AFX PE=1 SV=2 (P16104),Histone H2A type 2-B OS=Homo sapiens OX=9606 GN=HIST2H2AB PE=1 SV=3,Q8IUE6,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"13,995.80",20.70%,0,0,1,0.00%,8.46%,130
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of 26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3 (P17980),26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3,P17980,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"49,205.00",100.00%,1,1,2,0.00%,2.73%,439
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1 (P63261)","Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1",P63261,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"41,793.90",100.00%,1,2,26,0.02%,24.30%,375
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Histone H2AX OS=Homo sapiens OX=9606 GN=H2AFX PE=1 SV=2 (P16104),Histone H2AX OS=Homo sapiens OX=9606 GN=H2AFX PE=1 SV=2,P16104,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"15,145.10",63.80%,0,0,1,0.00%,7.69%,143
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3 (P06576)","ATP synthase subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1B PE=1 SV=3",P06576,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"56,560.60",100.00%,8,10,15,0.01%,11.20%,529
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4 (P23526),Adenosylhomocysteinase OS=Homo sapiens OX=9606 GN=AHCY PE=1 SV=4,P23526,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"47,717.10",100.00%,5,5,7,0.01%,9.95%,432
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=RSHIP4N_a PE=1 SV=2 (P54819)","Adenylate kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=RSHIP4N_a PE=1 SV=2",P54819,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"26,479.00",100.00%,3,4,8,0.01%,7.95%,239
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Rho-related GTP-binding protein RhoG OS=Homo sapiens OX=9606 GN=RHOG PE=1 SV=1 (P84095),Rho-related GTP-binding protein RhoG OS=Homo sapiens OX=9606 GN=RHOG PE=1 SV=1,P84095,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"21,308.10",99.60%,1,1,1,0.00%,5.76%,191
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3 (P22314),Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3,P22314,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"117,850.30",100.00%,2,2,2,0.00%,1.89%,1058
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of V-type proton ATPase subunit D OS=Homo sapiens OX=9606 GN=ATP6V1D PE=1 SV=1 (Q9Y5K8),V-type proton ATPase subunit D OS=Homo sapiens OX=9606 GN=ATP6V1D PE=1 SV=1,Q9Y5K8,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"28,264.30",99.60%,1,2,2,0.00%,4.45%,247
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6 (P13645)","Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4",P08779,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"51,269.00",43.90%,0,0,2,0.00%,3.81%,473
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Bifunctional purine biosynthesis protein PURH OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3 (P31939),Bifunctional purine biosynthesis protein PURH OS=Homo sapiens OX=9606 GN=ATIC PE=1 SV=3,P31939,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"64,616.50",100.00%,2,2,3,0.00%,3.72%,592
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of V-type proton ATPase subunit B, kidney isoform OS=Homo sapiens OX=9606 GN=ATP6V1B1 PE=1 SV=3 (P15313)","V-type proton ATPase subunit B, kidney isoform OS=Homo sapiens OX=9606 GN=ATP6V1B1 PE=1 SV=3",P15313,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"56,834.40",100.00%,0,0,8,0.01%,8.58%,513
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Polyubiquitin-B OS=Homo sapiens OX=9606 GN=UBB PE=1 SV=1 (P0CG47),Polyubiquitin-B OS=Homo sapiens OX=9606 GN=UBB PE=1 SV=1,"P0CG47,P0CG48",,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"77,042.40",100.00%,0,0,13,0.01%,16.60%,685
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6 (P04264)","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",P35908,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"65,433.90",100.00%,2,2,7,0.01%,8.45%,639
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of 40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=2 (P62244),40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=2,P62244,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"14,840.00",100.00%,2,2,4,0.00%,10.80%,130
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2 (O15523),Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,Q92841,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"80,274.00",94.90%,0,0,4,0.00%,4.12%,729
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1 (P63261)",Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2,Q562R1,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"42,004.20",95.80%,0,0,8,0.01%,8.24%,376
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1 (P68104),Elongation factor 1-alpha 2 OS=Homo sapiens OX=9606 GN=EEF1A2 PE=1 SV=1,Q05639,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"50,470.60",100.00%,3,3,28,0.03%,21.00%,463
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of 26S proteasome regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMC1 PE=1 SV=1 (P62191),26S proteasome regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMC1 PE=1 SV=1,P62191,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"49,186.40",99.90%,1,1,2,0.00%,2.73%,440
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of Inorganic pyrophosphatase 2, mitochondrial OS=Homo sapiens OX=9606 GN=PPA2 PE=1 SV=2 (Q9H2U2)","Inorganic pyrophosphatase 2, mitochondrial OS=Homo sapiens OX=9606 GN=PPA2 PE=1 SV=2",Q9H2U2,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"37,921.40",99.80%,1,1,1,0.00%,3.29%,334
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of 60S ribosomal protein L31 OS=Homo sapiens OX=9606 GN=RPL31 PE=1 SV=1 (P62899),60S ribosomal protein L31 OS=Homo sapiens OX=9606 GN=RPL31 PE=1 SV=1,P62899,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"14,463.20",99.60%,1,1,1,0.00%,7.20%,125
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of 60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5 (P36578),60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,P36578,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"47,699.10",100.00%,2,2,2,0.00%,5.85%,427
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1 (P25705)","ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",P25705,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"59,752.10",100.00%,3,5,6,0.01%,6.87%,553
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of 60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2 (P10809)","60 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=2",P10809,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"61,055.70",100.00%,2,2,3,0.00%,1.57%,573
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),"Cluster of Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2 (P38646)","Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",P38646,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"73,681.30",100.00%,1,1,3,0.00%,3.68%,679
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2 (O15523),ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2,O15523,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"73,155.80",100.00%,1,1,7,0.01%,6.36%,660
My Experiment_human,WT,WT_a,Service_Kachroo_2473_210422_1 (peptides_1_1_0.mzid),Cluster of V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2 (P38606),V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2,P38606,,Uniprot_swissprot_human_JUN08_2018_validated.fasta,"68,305.50",99.90%,1,1,2,0.00%,1.46%,617
